Campaign_Type,Total_Spend,Total_Impressions,Total_Reach,Total_Clicks,Total_Searches,Total_View_Content,Total_Add_to_Cart,Total_Purchases,CTR_%,Conversion_Rate_%,CPA_USD,ROAS
Control,68653,3177233.0,2576503.0,154303.0,64418.0,56370.0,37700.0,15161.0,4.856521381969784,0.5884332368330253,4.528263307169712,11.041760738787817
Test,76892,2237544.0,1604747.0,180970.0,72569.0,55740.0,26446.0,15637.0,8.087885646047631,0.9744215131731045,4.917311504764341,10.168157935806066
